Name,Code,Altitude,Easting,Northing,Description,Subregion,Region,SourceURL
Agulla dels Espeleòlegs,39,1.039,398523.0,4607081.0,L’agulla dels Espeleòlegs està disposada en paral·lel a l’agulla de la Bandereta i la Palangana.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Carbassó,42,1.032,398585.0,4607081.0,Es troba a l’Est de la Saca Gran i al damunt del Pedestal del Martell.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Dàtil,43,999,398614.0,4607064.0,Aquesta agulla es troba al damunt mateix de torrent de les Boïgues o canal dels Cirerers i sota el Martell. Cal advertir que en algunes cartografies s’ha invertit la localització d’aquesta agulla amb la Roca de les Heures.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Ninet,,1.025,398571.0,4607140.0,Aquest roca solitària es troba abocada a la alta paret Nord d’aquesta regió al capdamunt de la canal del Ninet de la Saca Gran.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Roca de les Heures,44,1.011,398615.0,4607101.0,"Està al capdamunt del torrent de les Boïgues i al costat del coll de la canal del Ninet,",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Filigrana,45,1.024,398654.0,4607083.0,Segons Josep Barberà per sota de l’agulla de l’Arbret i dels Ossos hi a un grup de roques situades al límit del canal del Cirerer (part alta del torrent de les Boïgues). La Filigrana és una agulla de proporcions petita. Tothom descriu aquesta agulla com l,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Bessona Superior,46,1.057,398685.0,4607084.0,"Aquest agulla limita, per la seva part oest, amb la Filigrana i per l’est per un petit collet que la separa de la Bessona inferior. Per la seva forma, les dues Bessones, aporten una imatge característica a la zona de les agulles.",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Bessona Inferior,47,1.056,398708.0,4607092.0,Està situada a llevant de la Bessona Superior i separada per un petit collet.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla de l'Arbret,48,1.078,398690.0,4607163.0,"És l’agulla més alta d’aquesta zona, 1076 metres. Aquesta agulla està tocant a la Podrida. Segons consta en els dibuixos de Francesc Remart i Pere Pau Montany (1790) en aquella època el seu nom era la Mitra",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla Podrida,49,1.045,398667.0,4607161.0,Seguint per la paret nord de la regió d’Agulles en direcció a l’est es troba l’agulla Podrida. Entre aquest agulla i el Ninet hi ha un ampli coll des d’on es dominen unes bones vistes d’aquesta zona.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla dels Ossos,50,1.067,398712.0,4607166.0,"A continuació de l’agulla de l’Arbret es troba l’agulla dels Ossos. Per la seva posició no dóna pròpiament a la paret nord de la regió d’Agulles. Al seu peu hi ha torrent que determina el límit d’aquesta secció. El nom d’agulla dels Ossos, tal com indica",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Miranda dels Ossos,51,1.067,398713.0,4607202.0,Aquesta agulla es troba en la part nord de l’anterior i està integrada en la paret nord d’Agulles. Al seu peu neix el torrent que limita aquesta secció.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Vespa,78,1.008,398708.0,4607054.0,Aquest agulla es troba per sota la Bessona inferior de la qual està separada per un petit collet. Per l’Est limita amb la canal que baixa de la zona dels Ossos.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Pingüí,79,1.002,398685.0,4607038.0,Por sota de la Bessona superior i separada per un petit collet es troba el Pingüí.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla de l'Esquelet,80,988,398683.0,4606987.0,Aquesta agulla es troba per sota la Vespa i el Pingüí separades d’elles per un petit pla. Per la banda sud hi ha una llastra que es característica d’aquesta agulla i que la fa inconfundible. La posició central d’aquesta agulla li aporta el valor de ser un,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Roca dels Puetons,81,948,398684.0,4606942.0,Es tracta d’una roca situada damunt de l’avenc dels Puetons. Limita al nord amb la Vespa,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Roca dels Cinc Passos,82,936,398648.0,4607004.0,Està a l'est de la Roca del Cirerer,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Roca del Cirerer,83,965,398647.0,4607035.0,Està separada de la Filigrana en la seva part nord per un petit coll. A la banda de ponent es troba el torrent dels Cireres i a la part est es troba el Pingüí.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla Pelada,19-20,949,398412.0,4606857.0,"Aquesta agulla està a continuació de la Portella inferior en sentit ascendent. Amb la Pelada pròpiament comença una petita serralada anomenada per alguns, tal com indica Josep Barberà, serrat de Sol Ponent",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Els Merlets,24-25,970,398484.0,4606930.0,"Abans de continuar amb la paret Nord de la regió d’Agulles a la dreta de l’agulla de Sol Ponent, en direcció a l’Est,s’estenen una sèrie d’agulles. La primera d’elles són els Marlets.",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Saca Gran,40-41,1.057,398558.0,4607095.0,"És l’agulla més destacada d’aquesta secció. El nom de Saca Gran prové de fa temps. Durant un temps s’anomenà agulla d’en Dionís en record al muntanyenc Dionís Artemendi (Barberà, 1977:43). En els dibuixos de Francesc Remart i Pere Pau Montany (1790) a la",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla Petita,s/n,931,398406.0,4606830.0,Agulla situada entre l'agulla Pelada i la Portella Petita. Es tracta de l'agulla identificada per Semir amb el número 19,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Contrafort de la Bessona,s/n,1.001,398673.0,4607053.0,Roca situada com a contrafort de la Bessona superior,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Punyalet,s/n,970,398493.0,4606998.0,És una petita agulla situada al nord de l'agulla Peluda,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Sabre,s/n,972,398480.0,4606981.0,Aquesta agulla es troba en la muralla occidental de la paret d’Agulles contraposada a l’agulla la Peluda de la qual està separada per un fissura que va obrint-se de baix cap a dalt.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Mirador de la Miranda de les Boïgues,s/n,998,398551.0,4606965.0,Aquest agulla és més aviat un turó que es troba entre la Boteruda i la Miranda de les Boïgues.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Roca Dolça,s/n,965,398666.0,4606968.0,Agulla adohsada a l'agulla de l'Esquelet per la seva la vessant oest,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
L'Aspirina,s/n,903,398551.0,4606735.0,Roca final de la petita cinglera  allargada que s'exten des de la Miranda de les Boigues i que s'acaba al damunt del camí de la Portella a coll de Port. Les seves parets s'aboquen damunt de la vessant dreta del torrent de les Boïgues.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Gep del Joe,s/n,,398664.0,4606970.0,Roca immediatament al sud de la roca Dolça i veïna a l'oest de l'Agulla de l'Esquelet,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Bolo Joe,s/n,,398666.0,4606956.0,Roca immediantament al sud del Gep de Joe,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Paret de la Biga,,818,398261.0,4607063.0,Cinglera allargasada en el cim de la qual sobresurt una viga de ferro col·locada als anys 60 del segle XX per Grup de Rescat de Muntanya per fer-hi pràctiques de rescat.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Fill del Ninet,,818,398282.0,4607063.0,"Petita agulla, una de tantes, d'aquesta zona. També és coneguda com a Boleta del Mirador d'Agulles",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla del Camí o Roca Stop,,855,398331.0,4606779.0,"Roca situada al costat mateix del camí de la Portella, just abans de fer el tomb per encarar la canal de la Portella.",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla Alta de la Miranda  (Manolito García),74,1.060,398900.0,4607169.0,Última roca d'una curta carena que baixa en direcció Sud Oest des de la Tri Roca,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Agulla de la Carnavalada o dels Set,98 i 88,1.014,398751.0,4607091.0,"Entorn d’aquesta agulla es dóna alguna confusió, ja que Josep Barberà la descriu juntament amb l’agulla dels Set perquè considera que és la mateixa que l’agulla del Set. Explica que fou esmentada per dues cordades diferents. La primera li donà el nom d’agulla dels Set. Perquè aquest era el nombre de persones de la primera cordada que pujà aquesta agulla. Es tractava d’una cordada formada per: Isabel Ricard, Úrsula Willis, J.Riera, M. Cervera, Anna Cerdà i J. Cerdà I i II. Anys després unes altres  persones feren l’ascensió pensant que era una primera i la batejaren amb el nom de Carnavalada. A l’acabar la via d’ascensió hi ha un cim que és el número 98 i la cota superior és la 88.",Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Agulla de la Corona de Reina,55,1.043,398796.0,4607130.0,Agulla situada per sobre a la roca de la Reina. Fou batejada així per un grup de terrassencs el 16 de novembre de 1958 per haver-hi trobat forces exemplars de la planta corona de la reina. Curiosament aquesta roca te forma de corona per diversos bonys que l'envolten.,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Agulla de la Foradada o dels Apòstols,69,992,398958.0,4607378.0,Al final d’aquesta carena es troba la roca Foradada que acaba abruptament.,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Agulla Ignasi Capeta,68,918,398957.0,4607353.0,És una agulla més baixa que l’anterior i lleugerament més alta que la Foradada. El nom d’aquesta agulla evoca al muntanyenc Ignasi Capeta que morí en un accident d’escalada al Midi d’Ossau el 1956.,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Agulla Xica de la Miranda (Petitona),73,1.084,398883.0,4607193.0,Seguint vers el nord hi ha l’agulla Xica de la Miranda.,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Pleta d'en Panxo,72,765,398817.0,4607827.0,Sota la Cadireta surt la carena d’en Pujades que baixa cap el Nord travessa la carretera BP-1103 i continua en direcció a Marganell. Tot just començar aquesta carena s’alça un gran turó rocós anomenat des d’antic Pleta d’en Panxo,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Cota 88,88,1.021,398755.0,4607104.0,Al costat de l'Agulla de la Carnavalada per la vessant nord,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
Cota 89,89,970,398753.0,4606989.0,Aquesta roca es troba entre la cota 77 i la Bitlla,Bola,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iv/
