Name,Description
Roca Gran de la Portella,"És la roca més esvelta i gran d’aquesta secció. Per la se seva situació fou una de les primeres en rebre l’atenció d’excursionistes i escaladors. Domina el pas que porta el seu nom. S’hi arriba a través del camí que ve de coll de Guirló i, amb una lleuger"
Les Tres Maries - cota 1,"Conjunt de tres roques situades a sota del marge dret del camí que mena a la Portella, just abans de fer el tomb per encarar la canal."
Les Tres Maries - cota 2,"Conjunt de tres roques situades a sota del marge dret del camí que mena a la Portella, just abans de fer el tomb per encarar la canal."
Les Tres Maries - cota 3,"Conjunt de tres roques situades a sota del marge dret del camí que mena a la Portella, just abans de fer el tomb per encarar la canal."
L'Hipopòtam,Roca situada a la part de llevant de la roca Majó.
Portella Petita,"Queda a la part nord del Pas de la Portella. El nom de Portella Inferior li ve perquè és més petita que la Portella gran que es troba al seu costat. No obstant, com diu Josep Barberà, el nom d’inferior és erroni perquè, en relació a l’alçada, la Portella"
Les Savines - Savina s uperior,Són dues agulles situades al damunt de l'agulla Pelada. Una més gran que l’altre. S’identifiquen per la seva posició: la inferior i la superior.
Les Savines - Savina  Inferior,Són dues agulles situades al damunt de l'agulla Pelada. Una més gran que l’altre. S’identifiquen per la seva posició: la inferior i la superior.
Agulla del Sol Ponent,"El nom d’aquesta agulla prové pel fet de que les primeres persones que l’escalaren arribaren al cim quan es ponia el sol. Amb aquesta agulla i la propera, La Peluda, s’acaba la paret oest de la regió d’Agulles."
El Gep Llarg,Situada al costat est dels Merlets amb la qual forma un petit collet.
La Boteruda,No confondre aquesta agulla amb una altra d’aquesta regió anomenada Boteruda del Gra. Aquest agulla està al costat est del Gep Llarg.
Agulla Peluda,"Aquesta agulla continua la vessant oest de la regió d’Agulles. Per la seva morfologia i proximitat a l’agulla del Capdamunt els mapes topogràfics no es representen aquesta agulla. A la paret externa d’aquesta agulla, la que dóna a la vessant oest d’aquest"
Agulla del Capdamunt,"Aquesta agulla es veïna a la Peluda i està situada en la part superior del conjunt d’agulles d’aquesta zona i és la que té més alçada, 1011 metres."
Miranda de les Boïgues,Aquesta agulla és característica d’aquesta zona perquè la seva forma i tamany domina aquesta secció. Es molt visible des del refugi Vicenç Barbé.
L'Aglà,"Aquest agulla, identificada amb el número 31 per Ramon de Semir, se la coneixia com una de les Momietes. Es troba al costa sud de la Miranda de les Boïgues."
Agulla Mare,"Aquest agulla, identificada amb el número 32 per Ramon de Semir, se la coneixia com una de les Momietes. És més alta que l’altra Momieta, l’Aglà. Està per sobre d'aquesta i al costat de la Miranda de les Boïgues"
El Senatxo,Amb aquesta agulla ja comença clarament la paret nord de la regió d’Agulles. La part nord d’aquesta agulla té una alçada considerable mentre que per la vessant est té molt poc alçada. La part superior d'aquest agulla és plana
La Figuereta,"El nom d’aquesta agulla prové per una figuera que es troba al inici de la canal sota la gran llastra de la paret oest d’aquesta roca. La Figuereta és una agulla, alguns en diuen puro, que es troba en la part oest de la muralla nord-oest per sobre del Sena"
El Martell,Aquesta agulla es troba sota de la Saca Gran
Pedestal del Martell,Aquest agulla es troba al cantó est de l’agulla el Martell. Entre aquesta agulla i el Carbassó existeix una estreta canal.
La Bandereta o Agulla Ven-Suri-Ven,"Aquest agulla presenta una gran paret en la muralla nord-nord-est de la regió d’Agulles. Aquesta agulla té dos noms. L’agulla es deia, originalment, La Bandereta. Però la cordada Torras-Nubiola, al trobar escrit en el llibre de registre situat en el nom e"
La Palangana,"Aquest agulla forma l’angle que marca el gir de la paret oest de la regió d’Agulles cap la seva part nord. La Palangana està separada de la Bandereta per un petit collet,"
Agulla dels Espeleòlegs,L’agulla dels Espeleòlegs està disposada en paral·lel a l’agulla de la Bandereta i la Palangana.
El Carbassó,Es troba a l’Est de la Saca Gran i al damunt del Pedestal del Martell.
El Dàtil,Aquesta agulla es troba al damunt mateix de torrent de les Boïgues o canal dels Cirerers i sota el Martell. Cal advertir que en algunes cartografies s’ha invertit la localització d’aquesta agulla amb la Roca de les Heures.
El Ninet,Aquest roca solitària es troba abocada a la alta paret Nord d’aquesta regió al capdamunt de la canal del Ninet de la Saca Gran.
Roca de les Heures,"Està al capdamunt del torrent de les Boïgues i al costat del coll de la canal del Ninet,"
La Filigrana,Segons Josep Barberà per sota de l’agulla de l’Arbret i dels Ossos hi a un grup de roques situades al límit del canal del Cirerer (part alta del torrent de les Boïgues). La Filigrana és una agulla de proporcions petita. Tothom descriu aquesta agulla com l
La Bessona Superior,"Aquest agulla limita, per la seva part oest, amb la Filigrana i per l’est per un petit collet que la separa de la Bessona inferior. Per la seva forma, les dues Bessones, aporten una imatge característica a la zona de les agulles."
La Bessona Inferior,Està situada a llevant de la Bessona Superior i separada per un petit collet.
Agulla de l'Arbret,"És l’agulla més alta d’aquesta zona, 1076 metres. Aquesta agulla està tocant a la Podrida. Segons consta en els dibuixos de Francesc Remart i Pere Pau Montany (1790) en aquella època el seu nom era la Mitra"
Agulla Podrida,Seguint per la paret nord de la regió d’Agulles en direcció a l’est es troba l’agulla Podrida. Entre aquest agulla i el Ninet hi ha un ampli coll des d’on es dominen unes bones vistes d’aquesta zona.
Agulla dels Ossos,"A continuació de l’agulla de l’Arbret es troba l’agulla dels Ossos. Per la seva posició no dóna pròpiament a la paret nord de la regió d’Agulles. Al seu peu hi ha torrent que determina el límit d’aquesta secció. El nom d’agulla dels Ossos, tal com indica"
La Miranda dels Ossos,Aquesta agulla es troba en la part nord de l’anterior i està integrada en la paret nord d’Agulles. Al seu peu neix el torrent que limita aquesta secció.
La Vespa,Aquest agulla es troba per sota la Bessona inferior de la qual està separada per un petit collet. Per l’Est limita amb la canal que baixa de la zona dels Ossos.
El Pingüí,Por sota de la Bessona superior i separada per un petit collet es troba el Pingüí.
Agulla de l'Esquelet,Aquesta agulla es troba per sota la Vespa i el Pingüí separades d’elles per un petit pla. Per la banda sud hi ha una llastra que es característica d’aquesta agulla i que la fa inconfundible. La posició central d’aquesta agulla li aporta el valor de ser un
Roca dels Puetons,Es tracta d’una roca situada damunt de l’avenc dels Puetons. Limita al nord amb la Vespa
Roca dels Cinc Passos,Està a l'est de la Roca del Cirerer
Roca del Cirerer,Està separada de la Filigrana en la seva part nord per un petit coll. A la banda de ponent es troba el torrent dels Cireres i a la part est es troba el Pingüí.
Agulla Pelada,"Aquesta agulla està a continuació de la Portella inferior en sentit ascendent. Amb la Pelada pròpiament comença una petita serralada anomenada per alguns, tal com indica Josep Barberà, serrat de Sol Ponent"
Els Merlets,"Abans de continuar amb la paret Nord de la regió d’Agulles a la dreta de l’agulla de Sol Ponent, en direcció a l’Est,s’estenen una sèrie d’agulles. La primera d’elles són els Marlets."
La Saca Gran,"És l’agulla més destacada d’aquesta secció. El nom de Saca Gran prové de fa temps. Durant un temps s’anomenà agulla d’en Dionís en record al muntanyenc Dionís Artemendi (Barberà, 1977:43). En els dibuixos de Francesc Remart i Pere Pau Montany (1790) a la"
Agulla Petita,Agulla situada entre l'agulla Pelada i la Portella Petita. Es tracta de l'agulla identificada per Semir amb el número 19
Contrafort de la Bessona,Roca situada com a contrafort de la Bessona superior
El Punyalet,És una petita agulla situada al nord de l'agulla Peluda
El Sabre,Aquesta agulla es troba en la muralla occidental de la paret d’Agulles contraposada a l’agulla la Peluda de la qual està separada per un fissura que va obrint-se de baix cap a dalt.
Mirador de la Miranda de les Boïgues,Aquest agulla és més aviat un turó que es troba entre la Boteruda i la Miranda de les Boïgues.
Roca Dolça,Agulla adohsada a l'agulla de l'Esquelet per la seva la vessant oest
L'Aspirina,Roca final de la petita cinglera  allargada que s'exten des de la Miranda de les Boigues i que s'acaba al damunt del camí de la Portella a coll de Port. Les seves parets s'aboquen damunt de la vessant dreta del torrent de les Boïgues.
Gep del Joe,Roca immediatament al sud de la roca Dolça i veïna a l'oest de l'Agulla de l'Esquelet
Bolo Joe,Roca immediantament al sud del Gep de Joe
Paret de la Biga,Cinglera allargasada en el cim de la qual sobresurt una viga de ferro col·locada als anys 60 del segle XX per Grup de Rescat de Muntanya per fer-hi pràctiques de rescat.
El Fill del Ninet,"Petita agulla, una de tantes, d'aquesta zona. També és coneguda com a Boleta del Mirador d'Agulles"
Agulla del Camí o Roca Stop,"Roca situada al costat mateix del camí de la Portella, just abans de fer el tomb per encarar la canal de la Portella."
Agulla Alta de la Miranda  (Manolito García),Última roca d'una curta carena que baixa en direcció Sud Oest des de la Tri Roca
Agulla de la Carnavalada o dels Set,"Entorn d’aquesta agulla es dóna alguna confusió, ja que Josep Barberà la descriu juntament amb l’agulla dels Set perquè considera que és la mateixa que l’agulla del Set. Explica que fou esmentada per dues cordades diferents. La primera li donà el nom d’agulla dels Set. Perquè aquest era el nombre de persones de la primera cordada que pujà aquesta agulla. Es tractava d’una cordada formada per: Isabel Ricard, Úrsula Willis, J.Riera, M. Cervera, Anna Cerdà i J. Cerdà I i II. Anys després unes altres  persones feren l’ascensió pensant que era una primera i la batejaren amb el nom de Carnavalada. A l’acabar la via d’ascensió hi ha un cim que és el número 98 i la cota superior és la 88."
Agulla de la Corona de Reina,Agulla situada per sobre a la roca de la Reina. Fou batejada així per un grup de terrassencs el 16 de novembre de 1958 per haver-hi trobat forces exemplars de la planta corona de la reina. Curiosament aquesta roca te forma de corona per diversos bonys que l'envolten.
Agulla de la Foradada o dels Apòstols,Al final d’aquesta carena es troba la roca Foradada que acaba abruptament.
Agulla Ignasi Capeta,És una agulla més baixa que l’anterior i lleugerament més alta que la Foradada. El nom d’aquesta agulla evoca al muntanyenc Ignasi Capeta que morí en un accident d’escalada al Midi d’Ossau el 1956.
Agulla Xica de la Miranda (Petitona),Seguint vers el nord hi ha l’agulla Xica de la Miranda.
Pleta d'en Panxo,Sota la Cadireta surt la carena d’en Pujades que baixa cap el Nord travessa la carretera BP-1103 i continua en direcció a Marganell. Tot just començar aquesta carena s’alça un gran turó rocós anomenat des d’antic Pleta d’en Panxo
Cota 88,Al costat de l'Agulla de la Carnavalada per la vessant nord
Cota 89,Aquesta roca es troba entre la cota 77 i la Bitlla
El Broc del Setrill,"Per sobre la Màquina de Tren i entre aquesta i el Setrill es troba una agulla que, per seva llarga punxa, s’anomena Broc del Setrill."
El Cap de Guerrer,Pujant des de la Roca de la Partió cap al nord es troba aquesta roca.
El Gallaret,És un petita agulla integrada en la petita carena de la Roca Forada i propera a l’Escorpí.
El Merlet de la Torta o agulla Encantada,Aquest roca es troba per sota el corriol que va del Portell Estret a l'Ou de Colom. Està just sota la Torta i molt a prop del coll d'Agulles. Es distingeix pel mugró gran que té en el cim.
El Periquito,Contrafort de l'Ou. S'hi arriba pujant una canal entre la Màquina de Tren i la Bitlla. El nom fou donat pels germans Masó.
El Setrill,"Al costat mateix el Broc del Setrill hi ha una gran roca arrodonida que, integrada, amb l’anterior agulla adopta la forma d’un setrill. La petita bretxa que hi ha entre el Broc del Setrill i el Setrill és una de les escalades lliures de Montserrat amb més"
La Bitlla,"Seguint més cap el nord, sempre en direcció a la Roca de la Partió, es troba un monòlit conegut com la Bitlla. Durant temps fou un monòlit difícil d’escalar."
La Bola de la Partió,"Es considerada per alguns com l'agulla més majestuosa de Montserrat. La seva toponímia descriu perfectament aquesta agulla, ja que és un monòlit coronat per una considerable bola. El nom de la partió prové de temps antic, ja que es considerava fita per fi"
La Boteruda del Gra,"És una important agulla, la més alta de la carena que lliga amb el Cap del Guerrer. La seva cara nord forma part de la paret nord del massís. El topònim d’aquest agulla prové del fet que té un prominent sortint rocós que recorda a un gra. No confondre aqu"
La Cadireta o Roca del Centellar,La formació de la Cadireta antigament se la coneixia amb el nom de la Roca del Centellar. Té una forma totalment identificable i característica.
La Màquina de Tren,"Seguint pel torrent de la Partió s’arriba al camí que uneix la Portella amb coll de Port. En aquesta cruïlla, entre aquesta canal i la canal Ampla es troba la Màquina de Tren. El seu nom inicial era l’agulla del Refugi per la seva proximitat al refugi Vic"
La Panxeta,És una roca situada al costat de la Boteruda del Gra.
La Petitona,Es una petita roca situada al peu de la Boteruda del Gra. La cara nord d’aquesta agulla està integrada en la paret nord del massís.
La Reina,Agulla que limita al sud amb la Bola de la Partió i pel nord amb la Corona de la Reina.
La Torta o la Mà,"És la roca més altívola del grup que hi ha a l'esquerra del Portell Estret i és també la més enlairada de tota la regió d'Agulles i, per tant, és un excel·lent mirador. Antigament era coneguda com la Mà, però avui tothom l'anomena la Torta, a causa de la"
La Tri-Roca,Aquesta formació són en tres roques o agulles enganxades.
L'Enclusa d’Agulles,Es tracta d’una gran roca situada entre la carena de la Foradada i el serrat d’en Pujadé. El seu topònim prové de la seva forma característica.
Les Dues Puntes - Nord,"Al costat est de la Boteruda del Gra hi ha una roca amb dues puntes, la nord i la sud, separades per un petit collet. La punt nord està incorporada a la vessant nord del massís."
Les Dues Puntes - Sud,Petita agulla situada entre la part nord de la Reina i la cara sud de la Boteruda del Gra. El nom d’aquesta agulla prové pel fet de que la primera cordada que l’ascendí trobà forces exemplars de la planta anomenada Corona de la Reina (Saxifraga catalaunic
L'Escorpí,Aquesta agulla es troba en el límit més nord de la regió d’Agulles i des d’ella surt la carena que forma la Roca Foradada i acaba  fins el serrat d’en Pujadé. Al peu de l’Escorpí es troba el coll d’Agulles o el Portell Estret.
L'Ou de Colom,Més al nord del Setrill es troba l’Ou de Colom. Aquest agulla està també en front de la Bola de la Partió i separada d’aquesta per una canal. És una agulla esvelta que acaba amb un massa rocosa en forma de bola allargada.
Roca 77,Aquesta agulla es troba en el límit d’aquesta secció i l’anterior a prop del coll que hi ha entre la Bola i la Bitlla. Des de la vessant és una agulla esvelta que recorda a un dit. Des de la cara nord hi un turó que la fa molt accessible.
Roca 86,Aquesta agulla està situada sota el coll que formen la Boteruda del Gra i les Dues Puntes. Es troba al capdamunt del torrent de la Partió.
Roca 87 (Miranda de les Bessones),"La Miranda de les Bessones és la cota 87 descrita per Josep Barberà. Es troba per damunt de la canal de les Bessones i veïna a la Corona de la Reina, la Panxeta i la Boteruda del Gra. De fet, és un petit turó des del qual es dominen les agulles del seu en"
Roca 92,"És la darrera roca dels contraforts de la canal de les Bessones. Forma una bretxa amb la Miranda dels Ossos des d’on s’inicia el torrent i la canal de les Bessones. La cara nord de la Roca 92, després d’un petit collet,.està integrada en el conjunt de par"
Roca 95,Aquesta agulla es troba limitant amb la cara nord de l’Ou de Colom.
Roca de la Maranya,"En el límit de la paret nord i al peu de la Torta, a la qual està unida amb un collet, es troba la roca de la Maranya."
Roca de la Partió,Està just al damunt del refugi Vicenç Barbé. És la primer roca prominent que es troba en el camí ascendent vers la Bola de la Partió i presenta un gros basament que queda al costat del camí que va a coll de Port.
Roca del Corpus Christi,Petita roca abocada a la paret d'Agulles al indret de sota la Maranya i l'Escorpí
Roca del Dumbo,Al costat de l’Ou de Colom i per damunt de la canal Ampla hi ha la roca del Dumbo.
Roca veïna del Cap del Guerrer,Està unida per una bretxa al Cap del Guerrer per la part nord.
Veïna de l'Escorpi,Gran roca situada al sud de l'Escorpí
Agulla del Ton,Petita agulla situada adhosada a la cara nord-est de la roca Veïna de l'Escorpí.
La Badada,"Important agulla que, en oposició a la Boleta del Portell estret, tanca per ponent el coll del Portell estret o coll d'Agulles. Té una important paret nord que s'integra en la muralla d'Agulles."
Agulleta del serrat d'en Pujades,A la vessant oest de la Pleta d'en Panxo es troba una agulla lleugerament separada de la cinglera
Roca d'en Llaudó,"Aquesta agulla està pràcticament tocant a l'Enclusa d'Agulles, hi ha un collet entre totes dues (la d'en Llaudó queda més al sud). Al Pam a Pam surt anomenada i descrita,  i s'explica que està dedicada aJosep Llaudó. És difícil de veure perquè té un cingle a la vora que fa que es confongui amb el fons. Diu en Carles Llovet Taroja que des del cim de l'Enclusa es veu directament de cara i queda clar quina agulla és."
Roca Veïna a la Pleta d'en Panxo,Sota la Cadireta d’Agulles i en la vessant oest de la Pleta d’en Panxo hi ha una zona on abunden les roques despreses de les gran parets de la regió d’Agulles. Una d’aquestes roques l’he anomenat Roca Veïna de la Peta d’en Panxo. És un bloc de 27x16 metres amb una balma amb evidències d’haver estat obrada.
Roca Tripartita,"Sota la Cadireta d’Agulles i en la vessant oest de la Pleta d’en Panxo hi ha una zona on abunden les roques despreses de les gran parets de la regió d’Agulles. Una d’aquestes roques l’he anomenat Roca Tripartita per les dos importants fissures que la solquen d’est a oest. Es tracta d’un bloc, quasi quadrat 18x17, situat a prop del torrent de la font del Teix. A la seva vessant sud hi ha una petita balma, sense cap evidència d’haver estat obrada."
Agulla de la Boleta o la Desconeguda,Es troba sota el pedestal de la Boleta del Portell Estret.
Agulla d'en Passola,Aquesta agulla fou dedicada a un muntanyenc pels seus amics. Está a l'est de l'Ànec tocant a la vessant nord de l'agulla Sens Nom.
Agulla d'en Tagore,Roca situada per sota de la Roca de sota de la Punta d'en Campanilles al damunt del torrent del Lloro
Agulla Sens Nom,Es troba en la intersecció del camí de la travessa dels Frares Encantats amb Sens Nom. Està separada de l’Ànec per una ampla canal en el part nord-oest.
Cap d'en Calventus,Aquesta agulla està alineada a l’agulla 174 (Agulla d’en Charly) en direcció al camí que uneix el pas de la Portella amb el Montgròs. Està separada de la roca 178 per una canal.
Contrafort de l'Anec,Agulla siutada sobre la vessant nord de l'Ànec formant part de la muralla nord de la regió dels Frares Encantats
Cota 102,És una de les roques del Serrat del Centenar. Es troba a la dreta del camí de la travessa de la regió de Frares Encantats  l'esquerra del collet que va des de la Canal Ampla a la Nina per damunt de la cota 103 i al costat de la 101 o Roca de del Serrat de
Cota 103,Aquesta cota és una de les roques del Serrat del Centenar. Es troba a la dreta dl camí de la trevessa dels Frares Encantats. És una roca de forma arrodonida i fa coll amb la Cota 104 o Agulla Bífida.
Cota 104 - Agulla Bífida,Darrera roca del Serrat del Centenar. Aquesta roca fa collet amb l'Efant Petit i per ell passa el camí de la travesa de Frares Encantats.
Cota 107,La cota 107 es troba al nord de la 108 entre aquesta i la cota 104 o agulla Bífida.
Cota 108,Aquesta roca està separada per una petita canal amb la cota 109 o Gis-Taus per on passa el camí.
Cota 109 - Agulla Gis-Taus,Abans d’arribar a l’Elefant petit el camí de la travessa dels Frares Encantats creua un petit serrat de tres roques. La roca que queda a l’esquerra segons el sentit de la marxa és la 109 o Gis-Taus.
Cota 175,Es troba a sota mateix de la cota 178 en direcció sud.
Cota 178,Situada entre la cota 175 i el Cap d'en Calventus.
Cresta Plana,És la roca final de la petita carena que neix més amunt en l’agulla Amagada. Pel seu peu passa el camí que va des del pas de la Portella al Montgròs.
El Caputxó d'en Semir,Seguint el camí que va des de la canal Ampla vers la Caputxa es deixa per continuar fins el peu del Caputxó per una canal arbrada.
El Carquinyoli,"Petita roca penjada la paret N. del Serrat del Centenar. Cal baixar per una canal entre el Queixal i el serrat esmentat, sortint des del coll amb molta precaució i encordats; deixant dita canal i per dintre vegetació es va a buscar una canaleta que porta"
El Gendarme,Està situada a la part nord de l'agulla Sens Nom i forma part de la muralla de la pared nord del massís.
El Melindro,"Un roca molt poc coneguda però força interessant, situada sota la Boleta Foradada i que gairebé és un contrafort del seu basament."
El Morro Pla,Aquesta agulla es troba tot seguit a l’Elefant petit seguint el camí de la travessa dels Frares Encantats en direcció cap a la canal Ampla. El camí voreja quasi tota la cara nord i oest d’aquesta agulla. En aquesta vessant es troba un pi que té tres branq
El Queixal,Agulla solitària situada al nord de la Nana i en direcció a la muralla de la paret nord de la regió de Frares Encantats..
La Boleta del Portell Estret,Es troba abocada al damunt mateix del coll d'Agulles o Portell Estret per la banda est.
La Boleta Foradada,"Aquesta peculiar agulla es troba entre el serrat del Centenar i la Nina, de la qual està separada per una accidentada torrentada on s'aixeca l'agulla del Melindro. Com el seu nom ja ho indica, es tracta d'una bola de roca assentada  damunt d’un pedestal."
La Caputxa o Agulla Vicenç Barbé,"Aquesta agulla ha estat durant temps una de les roques mes temudes de Montserrat. Ha estat l’agulla que durant més temps va imposar un gran respecte car, mentre intentava fer-hi la primera ascensió fatalment hi perdé la vida en Vicenç Barbé. El camí de la"
La Mamelluda,"El camí de la travessa de Frares Encantats, un cop deixat enrere la Nana i per anar a la canal Ampla es passa per la vessant oest d’aquest allargassada roca. El seu no prové de dues protuberàncies rocoses en la seva part superior. Per la part inferior s’i"
La Nana,Es troba al costat del Morro Pla del qual està separada per un petit planell. El camí de la travessa dels Frares Encantats passa per la seva cara nord.
La Nina,"Segons Josep Barberà és una de les roques més perfectes de Montserrat, formant una capriciosa silueta molt proporcionada. Queda a tocar del camí que des de la canal Ampla mena al Lloro després de deixar enrere la Monja."
l'Amagada,Aquesta agulla es troba a la banda sud de la Mamelluda. Té una aresta sud molt ajaguda que després es redreça de cop.
L'Anec,Gran roca separada per una canal de la Boleta del Portell Estret.
L'Elefant Petit o Agulla de les Tramperes,Aquesta agulla es troba darrera el Morro Pla per a part oes.  Entre l'Elefant petit i la cota 104 o agula Bífida passa el camí de la travessa de Frares Encants.
